Age.Group,Ethnicity,Gender,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,Maori,Total,14580,14620,14380,14320,14740,14820,14670,14900,14660,15140,15320,14950,14870,15090,15180,15960,18240,18950,18520,18520,18140,17600,17120
1,Maori,Total,14420,14610,14600,14360,14290,14700,14770,14640,14880,14630,15100,15170,14690,14580,14770,14830,15730,18050,18850,18430,18420,18040,17500
2,Maori,Total,13740,14410,14600,14590,14350,14280,14690,14760,14630,14870,14610,15030,15040,14430,14300,14430,14650,15570,17960,18770,18350,18330,17950
3,Maori,Total,13220,13740,14410,14600,14580,14340,14270,14690,14760,14630,14850,14530,14940,14900,14180,14000,14270,14510,15500,17900,18690,18260,18250
4,Maori,Total,12760,13220,13740,14400,14600,14580,14340,14270,14690,14760,14610,14730,14420,14850,14750,13890,13870,14150,14430,15430,17820,18610,18190
5,Maori,Total,12030,12750,13210,13730,14400,14590,14580,14340,14270,14690,14750,14510,14580,14300,14740,14580,13780,13760,14080,14370,15350,17740,18530
6,Maori,Total,11550,12030,12750,13210,13730,14400,14590,14580,14340,14280,14680,14680,14390,14430,14180,14610,14480,13670,13680,14010,14280,15270,17650
7,Maori,Total,10990,11550,12030,12750,13210,13740,14400,14600,14580,14350,14270,14610,14590,14260,14270,14020,14510,14370,13590,13610,13920,14200,15180
8,Maori,Total,10780,10990,11550,12030,12750,13220,13740,14410,14600,14590,14340,14230,14530,14490,14120,14070,13920,14400,14290,13510,13520,13840,14110
9,Maori,Total,10770,10780,10990,11550,12030,12760,13220,13740,14410,14610,14590,14320,14170,14440,14390,13960,13980,13810,14320,14210,13420,13430,13740
10,Maori,Total,11270,10770,10780,10990,11550,12030,12760,13220,13750,14420,14610,14560,14280,14110,14340,14250,13860,13870,13720,14230,14110,13320,13330
11,Maori,Total,11200,11270,10770,10780,10990,11550,12030,12760,13230,13760,14420,14560,14520,14240,14040,14200,14140,13740,13760,13620,14120,14000,13210
12,Maori,Total,11370,11190,11270,10770,10780,10990,11550,12040,12770,13240,13750,14360,14500,14470,14190,13940,14090,14010,13630,13660,13500,14000,13890
13,Maori,Total,11250,11370,11190,11270,10770,10780,10990,11560,12040,12780,13240,13710,14290,14440,14410,14110,13820,13950,13900,13530,13530,13380,13890
14,Maori,Total,11010,11250,11360,11190,11270,10770,10780,10990,11560,12050,12790,13260,13660,14200,14360,14310,13990,13680,13830,13790,13400,13410,13260
15,Maori,Total,10790,11010,11250,11360,11190,11260,10770,10780,10990,11560,12080,12880,13270,13590,14090,14230,14170,13850,13550,13720,13660,13270,13280
16,Maori,Total,10640,10780,11000,11230,11350,11170,11250,10750,10760,10980,11600,12300,12950,13230,13470,13910,14070,14020,13720,13440,13580,13520,13140
17,Maori,Total,10400,10610,10750,10970,11200,11310,11120,11190,10670,10690,10990,11880,12420,12880,13060,13210,13680,13880,13870,13580,13280,13430,13370
18,Maori,Total,10210,10350,10560,10690,10880,11100,11210,10990,11020,10490,10620,11200,11980,12310,12590,12660,12870,13430,13710,13710,13390,13100,13250
19,Maori,Total,10070,10130,10260,10440,10530,10710,10920,10960,10670,10670,10300,10600,11130,11730,11850,11990,12250,12580,13240,13530,13490,13180,12890
20,Maori,Total,9630,9960,10010,10100,10240,10300,10470,10600,10530,10200,10370,10080,10370,10800,11220,11230,11560,11950,12350,13030,13280,13250,12940
21,Maori,Total,9020,9500,9830,9830,9870,9980,10030,10100,10110,9980,9820,9870,9680,9970,10310,10640,10640,11170,11670,12090,12730,12980,12960
22,Maori,Total,8820,8890,9370,9650,9600,9610,9720,9680,9620,9570,9590,9210,9360,9310,9590,9920,9980,10170,10840,11370,11740,12370,12640
23,Maori,Total,8520,8720,8780,9220,9460,9390,9390,9420,9270,9170,9220,8940,8710,9020,9120,9460,9330,9530,9840,10550,11010,11380,12030
24,Maori,Total,8350,8440,8630,8670,9080,9300,9230,9180,9130,8950,8910,8630,8470,8460,8940,9210,8970,8930,9210,9560,10200,10670,11050
25,Maori,Total,7940,8310,8400,8580,8600,9010,9220,9140,9060,8990,8820,8550,8320,8350,8580,9200,8860,8630,8640,8960,9250,9890,10370
26,Maori,Total,8010,7920,8290,8380,8560,8580,8980,9190,9100,9020,8930,8570,8340,8220,8440,8870,8980,8600,8400,8430,8700,8990,9650
27,Maori,Total,8260,8010,7910,8290,8380,8570,8590,9000,9220,9130,9020,8790,8440,8280,8260,8640,8750,8800,8420,8230,8240,8510,8800
28,Maori,Total,8560,8270,8010,7930,8320,8410,8600,8640,9070,9300,9170,8950,8730,8400,8320,8370,8630,8650,8680,8300,8100,8100,8380
29,Maori,Total,8380,8570,8280,8030,7960,8350,8450,8660,8720,9170,9350,9150,8880,8680,8380,8350,8410,8580,8560,8600,8220,8010,8020
30,Maori,Total,7920,8390,8580,8300,8060,7990,8390,8510,8740,8820,9220,9350,9120,8810,8620,8320,8380,8380,8520,8510,8530,8150,7950
31,Maori,Total,7530,7930,8400,8590,8320,8090,8020,8440,8580,8830,8860,9210,9310,9050,8700,8500,8350,8350,8320,8470,8450,8470,8100
32,Maori,Total,7220,7540,7930,8410,8610,8340,8120,8060,8500,8650,8860,8830,9170,9260,8970,8550,8520,8310,8300,8280,8410,8390,8410
33,Maori,Total,6740,7230,7540,7940,8420,8630,8370,8150,8120,8570,8680,8840,8780,9110,9170,8830,8550,8480,8250,8240,8220,8350,8330
